,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,download
0,0,0,0,https://hoc247.net/tu-lieu/lop-12/,Die
1,1,1,1,https://hoc247.net/tu-lieu/tieu-hoc/,Die
2,2,2,2,https://hoc247.net/tu-lieu/lop-6/,Die
3,3,3,3,https://hoc247.net/tu-lieu/lop-7/,Die
4,4,4,4,https://hoc247.net/tu-lieu/lop-8/,Die
5,5,5,5,https://hoc247.net/tu-lieu/lop-9/,Die
6,6,6,6,https://hoc247.net/tu-lieu/lop-10/,Die
7,7,7,7,https://hoc247.net/tu-lieu/lop-11/,Die
8,8,8,8,https://hoc247.net/tu-lieu/dai-hoc/,Die
9,9,9,9,https://hoc247.net/tu-lieu/dai-hoc/ly-luan-chinh-tri/,Die
10,10,10,10,https://hoc247.net/tu-lieu/dai-hoc/khoa-hoc-tu-nhien/,Die
11,11,11,11,https://hoc247.net/tu-lieu/dai-hoc/khoa-hoc-xa-hoi/,Die
12,12,12,12,https://hoc247.net/tu-lieu/dai-hoc/kinh-te-tai-chinh/,Die
13,13,13,13,https://hoc247.net/tu-lieu/dai-hoc/ky-thuat-cong-nghe/,Die
14,14,14,14,https://hoc247.net/tu-lieu/dai-hoc/cong-nghe-thong-tin/,Die
15,15,15,15,https://hoc247.net/tu-lieu/dai-hoc/tieng-anh-ngoai-ngu/,Die
16,16,16,16,https://hoc247.net/tu-lieu/dai-hoc/luan-van-bao-cao/,Die
17,17,17,17,https://hoc247.net/tu-lieu/dai-hoc/kien-truc-xay-dung/,Die
18,18,18,18,https://hoc247.net/tu-lieu/dai-hoc/ky-nang-mem/,Die
19,19,19,19,https://hoc247.net/tu-lieu/dai-hoc/y-te-suc-khoe/,Die
20,20,20,20,https://hoc247.net/tu-lieu/dai-hoc/bieu-mau-van-ban/,Die
21,21,21,21,https://hoc247.net/tu-lieu/lop-12,Die
22,22,22,22,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-12-nam-2021-2022-co-dap-an-truong-thpt-nhan-chinh-doc38222.html,Yes
23,23,23,23,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-cong-nghe-12-nam-2021-2022-truong-thpt-nguyen-hue-co-dap-an-doc38101.html,Yes
24,24,24,24,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tin-hoc-12-nam-2021-2022-truong-thpt-duy-tan-co-dap-an-doc38100.html,Yes
25,25,25,25,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-dia-li-12-nam-2021-2022-truong-thpt-nguyen-van-linh-co-dap-an-doc38059.html,Yes
26,26,26,26,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-12-nam-2021-2022-co-dap-an-truong-thpt-bui-thi-xuan-doc38055.html,Yes
27,27,27,27,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-lich-su-12-nam-2021-2022-co-dap-an-truong-thpt-gia-dinh-doc38049.html,Yes
28,28,28,28,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-sinh-hoc-12-nam-2021-2022-truong-thpt-phan-van-tri-co-dap-an-doc38014.html,Yes
29,29,29,29,https://hoc247.net/tu-lieu/bo-3-de-thi-hk2-mon-ngu-van-12-co-dap-an-nam-2021-2022-truong-thpt-nguye-n-trung-thie-n-doc38006.html,Yes
30,30,30,30,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-12-nam-2021-2022-co-dap-an-truong-thpt-nguyen-trai-doc38002.html,Yes
31,31,31,31,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tieng-anh-12-co-dap-an-nam-2021-2022-truong-thpt-tran-hung-dao-doc37999.html,Yes
32,32,32,32,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-vat-ly-12-nam-2021-2022-co-dap-an-truong-thpt-nguyen-trung-thien-doc37971.html,Yes
33,33,33,33,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-hoa-hoc-12-nam-2021-2022-co-dap-an-truong-thpt-ha-huy-tap-doc37961.html,Yes
34,34,34,34,https://hoc247.net/tu-lieu/toan-lop-1/,Die
35,35,35,35,https://hoc247.net/tu-lieu/toan-lop-2/,Die
36,36,36,36,https://hoc247.net/tu-lieu/lich-su-va-dia-li/,Die
37,37,37,37,https://hoc247.net/tu-lieu/khoa-hoc-tu-nhien/,Die
38,38,38,38,https://hoc247.net/tu-lieu/tieng-viet-lop-1/,Die
39,39,39,39,https://hoc247.net/tu-lieu/tieng-viet-lop-2/,Die
40,40,40,40,https://hoc247.net/tu-lieu/tieng-anh-moi/,Die
41,41,41,41,https://hoc247.net/tu-lieu/ngu-phap-tieng-anh/,Die
42,42,42,42,https://hoc247.net/tu-lieu/tu-vung-tieng-anh/,Die
43,43,43,43,https://hoc247.net/tu-lieu/triet-hoc/,Die
44,44,44,44,https://hoc247.net/tu-lieu/lich-su-dang/,Die
45,45,45,45,https://hoc247.net/tu-lieu/tu-tuong-ho-chi-minh/,Die
46,46,46,46,https://hoc247.net/tu-lieu/kinh-te-vi-mo/,Die
47,47,47,47,https://hoc247.net/tu-lieu/kinh-te-vii-mo/,Die
48,48,48,48,https://hoc247.net/tu-lieu/toan-cao-cap/,Die
49,49,49,49,https://hoc247.net/tu-lieu/xac-suat-thong-ke/,Die
50,50,50,50,https://hoc247.net/tu-lieu/dai-so-tuyen-tinh/,Die
51,51,51,51,https://hoc247.net/tu-lieu/tam-ly-hoc-dai-cuong/,Die
52,52,52,52,https://hoc247.net/tu-lieu/tin-hoc-dai-cuong/,Die
53,53,53,53,https://hoc247.net/tu-lieu/ke-toan-dai-cuong/,Die
54,54,54,54,https://hoc247.net/tu-lieu/phap-luat-dai-cuong/,Die
55,55,55,55,https://hoc247.net/tu-lieu/marketing-can-ban/,
56,56,56,56,https://hoc247.net/tu-lieu/tai-chinh-tien-te/,
57,57,57,57,https://hoc247.net/tu-lieu/xa-hoi-hoc-dai-cuong/,
58,58,58,58,https://hoc247.net/tu-lieu/logic-hoc/,
59,59,59,59,https://hoc247.net/tu-lieu/lich-su-the-gioi/,
60,60,60,60,https://hoc247.net/tu-lieu/co-so-van-hoa-vn/,
61,61,61,61,https://hoc247.net/tu-lieu/tieng-anh-lop-1/,
62,62,62,62,https://hoc247.net/tu-lieu/tieng-anh-lop-2/,
63,63,63,63,https://hoc247.net/tu-lieu/tieng-anh-lop-3/,
64,64,64,64,https://hoc247.net/tu-lieu/tieng-anh-lop-4/,
65,65,65,65,https://hoc247.net/tu-lieu/khoa-hoc/,
66,66,66,66,https://hoc247.net/tu-lieu/tu-nhien-va-xa-hoi/,
67,67,67,67,https://hoc247.net/tu-lieu/dao-duc/,
68,68,68,68,https://hoc247.net/tu-lieu/tieng-anh-lop-5/,
