,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,download
0,0,0,0,0,https://cungthi.online/chi-tiet-tai-lieu/tai-lieu-boi-duong-hsg-dao-dong-co-2-file-word-co-loi-giai-chi-tiet.html,Yes
1,1,1,1,1,https://cungthi.online/chi-tiet-tai-lieu/218-bai-toan-ham-an-hay-nhat-nhat.html,Yes
2,2,2,2,2,https://cungthi.online/chi-tiet-tai-lieu/phan-dang-phuong-phap-giai-cac-chuyen-de-dai-so-10-nguyen-phu-khanh-file-word.html,Yes
3,3,3,3,3,https://cungthi.online/chi-tiet-tai-lieu/tai-lieu-ly-thuyet-vat-ly-12-day-du-ban-dep.html,Yes
4,4,4,4,4,https://cungthi.online/chi-tiet-tai-lieu/chuyen-de-boi-duong-hoc-sinh-gioi-tin-8.html,Yes
5,5,5,5,5,https://cungthi.online/chi-tiet-tai-lieu/tai-lieu-boi-duong-hsg-dao-dong-song-co-file-word-co-loi-giai-chi-tiet.html,Yes
6,6,6,6,6,https://cungthi.online/chi-tiet-tai-lieu/tai-lieu-toan-11-gioi-han-ham-so-lien-tuc-(ly-thuyet-+-bai-tap-van-dung)-file-word.html,Yes
7,7,7,7,7,https://cungthi.online/chi-tiet-tai-lieu/tom-tat-ly-thuyet-toan-12-(file-word).html,Yes
8,8,8,8,8,https://cungthi.online/chi-tiet-tai-lieu/tom-tat-ly-thuyet-gdcd-11.html,Yes
9,9,9,9,9,https://cungthi.online/chi-tiet-tai-lieu/toan-bo-so-do-tu-duy-toan-12.html,Yes
10,10,10,10,10,https://cungthi.online/chi-tiet-tai-lieu/tai-lieu-day-them-toan-lop-10-tap-the-giao-vien-suu-tam.html,Yes
11,11,11,11,11,https://cungthi.online/chi-tiet-tai-lieu/phan-dang-phuong-phap-giai-cac-chuyen-de-hinh-hoc-11-nguyen-phu-khanh-file-word.html,Yes
12,12,12,12,12,https://cungthi.online/chi-tiet-tai-lieu/cau-truc-du-lieu-va-giai-thuat-hoc-vien-cong-nghe-buu-chinh-vien-thong.html,Yes
13,13,13,13,13,https://cungthi.online/chi-tiet-tai-lieu/cong-thuc-hinh-hoc-va-toan-chuyen-dong-lop-5.html,Yes
14,14,14,14,14,https://cungthi.online/chi-tiet-tai-lieu/tai-lieu-phan-tich-va-thiet-ke-thuat-toan.html,Yes
15,15,15,15,15,https://cungthi.online/chi-tiet-tai-lieu/thuat-toan-va-thuat-giai.html,Yes
16,16,16,16,16,https://cungthi.online/chi-tiet-tai-lieu/bo-20-de-thi-hoc-ky-1-toan-lop-5-bo-1.html,Yes
