,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,link,download
0,0,0,0,https://giaotrinhhay.com/,Die
1,1,1,1,https://giaotrinhhay.com/meo-hay/,Die
2,2,2,2,https://giaotrinhhay.com/rao-vat/,Die
3,3,3,3,https://giaotrinhhay.com/phan-cung/,Die
4,4,4,4,https://giaotrinhhay.com/phan-mem/,Die
5,5,5,5,https://giaotrinhhay.com/thu-thuat/,Die
6,6,6,6,https://giaotrinhhay.com/tin-hoc-van-phong/,Die
7,7,7,7,https://giaotrinhhay.com/chon-mua/,Die
8,8,8,8,https://giaotrinhhay.com/may-chay-bo/,Yes
9,9,9,9,https://giaotrinhhay.com/ghe-massage/,Yes
10,10,10,10,https://giaotrinhhay.com/xe-dap-tap/,Yes
11,11,11,11,https://giaotrinhhay.com/may-lam-kem/,Yes
12,12,12,12,https://giaotrinhhay.com/may-rua-chen-bat/,Yes
13,13,13,13,https://giaotrinhhay.com/bang-gia-dich-vu/,Yes
14,14,14,14,https://giaotrinhhay.com/#,Die
15,15,15,15,https://giaotrinhhay.com/giao-trinh-tong-hop/,Die
16,16,16,16,https://giaotrinhhay.com/seo/,Die
17,17,17,17,https://giaotrinhhay.com/digital-marketing/,Die
18,18,18,18,https://giaotrinhhay.com/dich-vu-quang-cao/,Die
19,19,19,19,https://giaotrinhhay.com/dich-vu-seo/,Yes
20,20,20,20,https://giaotrinhhay.com/dich-vu-chay-quang-cao-google/,Yes
21,21,21,21,https://giaotrinhhay.com/dich-vu-quang-cao-faceboook/,Yes
22,22,22,22,https://giaotrinhhay.com/dich-vu-quang-cao-zalo/,Yes
23,23,23,23,https://giaotrinhhay.com/quang-cao-tiktok/,Yes
24,24,24,24,https://giaotrinhhay.com/dich-vu-viet-bai/,Yes
25,25,25,25,https://giaotrinhhay.com/do-hoa/,Die
26,26,26,26,https://giaotrinhhay.com/thiet-ke-web/,Die
27,27,27,27,https://giaotrinhhay.com/quan-tri-mang/,Die
28,28,28,28,https://giaotrinhhay.com/lap-trinh/,Die
29,29,29,29,https://giaotrinhhay.com/?tierand=1,Die
30,30,30,30,https://giaotrinhhay.com/entity-la-gi/,Yes
31,31,31,31,https://giaotrinhhay.com/huong-dan-seo-onpage/,Yes
32,32,32,32,https://giaotrinhhay.com/kiem-tien-online-voi-seo/,Yes
33,33,33,33,https://giaotrinhhay.com/tai-lieu-seo-tieng-viet/,Yes
34,34,34,34,https://giaotrinhhay.com/seo-web/,Yes
35,35,35,35,https://giaotrinhhay.com/bi-quyet-chay-quang-cao-google-adwords-hieu-qua/,Yes
36,36,36,36,https://giaotrinhhay.com/quy-trinh-trien-khai-zalo-oa/,Yes
37,37,37,37,https://giaotrinhhay.com/product-concept-la-gi/,Yes
38,38,38,38,https://giaotrinhhay.com/google-adsense-va-cach-kiem-tien-tot-nhat-tu-ads/,Yes
39,39,39,39,https://giaotrinhhay.com/digital-marketing-tong-the-tu-dong/,Yes
40,40,40,40,https://giaotrinhhay.com/cach-nau-lau-kim-chi-han-quoc/,Yes
41,41,41,41,https://giaotrinhhay.com/huong-dan-tra-cuu-don-hang-van-chuyen/,Yes
42,42,42,42,https://giaotrinhhay.com/cach-lam-mon-huyet-rang-muoi/,Yes
43,43,43,43,https://giaotrinhhay.com/cach-lam-tom-rang-muoi-hot/,Yes
44,44,44,44,https://giaotrinhhay.com/cach-lam-dau-bap-luoc/,Yes
45,45,45,45,https://giaotrinhhay.com/tai-lieu-seo/,Yes
