,link,download
0,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/131-level-2/3800-bai-so-10.html,
1,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/154-level-1/1056-bai-so-6.html,
2,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/140-level-2/3846-bai-so-7.html,
3,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3789-bai-so-9.html,Yes
4,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3786-bai-so-6.html,Yes
5,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3788-bai-so-8.html,
6,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3785-bai-so-5.html,
7,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3787-bai-so-7.html,
8,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3781-bai-so-1.html,
9,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/152-level-2/2544-bai-so-1.html,
10,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/151-level-1/433-bai-so-3.html,
11,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/151-level-1/431-bai-so-1.html,
12,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/151-level-1/432-bai-so-2.html,
13,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/172-level-1/3779-bai-so-10.html,
14,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/144-level-3/3861-bai-so-1.html,
15,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/176-level-2/1104-bai-so-1.html,
16,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3782-bai-so-2.html,
17,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/139-level-1/3836-bai-so-7.html,
18,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/3744-bai-so-8.html,
19,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/1094-bai-so-5.html,
20,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/3745-bai-so-9.html,
21,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/1092-bai-so-3.html,
22,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/1093-bai-so-4.html,
23,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/1089-bai-so-1.html,
24,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/1091-bai-so-2.html,
25,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/3743-bai-so-7.html,
26,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/1095-bai-so-6.html,
27,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/158-level-2/3771-bai-so-2.html,
28,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/158-level-2/1081-bai-so-1.html,
29,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/131-level-2/3796-bai-so-6.html,
30,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3783-bai-so-3.html,
31,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3859-bai-so-9.html,
32,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3853-bai-so-3.html,
33,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3851-bai-so-1.html,
34,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3855-bai-so-5.html,
35,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3852-bai-so-2.html,
36,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3860-bai-so-10.html,
37,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3854-bai-so-4.html,
38,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3858-bai-so-8.html,
39,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3856-bai-so-6.html,
40,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/154-level-1/3535-bai-so-9.html,
41,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/130-level-1/3784-bai-so-4.html,
42,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/143-level-2/3857-bai-so-7.html,
43,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/160-level-1/990-bai-so-3.html,
44,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/160-level-1/989-bai-so-2.html,
45,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/160-level-1/992-bai-so-5.html,
46,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/160-level-1/3772-bai-so-7.html,
47,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/160-level-1/991-bai-so-4.html,
48,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/160-level-1/988-bai-so-1.html,
49,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/160-level-1/993-bai-so-6.html,
50,http://www.baitap123.com/vat-ly/lop-11/xac-nhan/154-level-1/1054-bai-so-4.html,
51,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/175-level-1/3746-bai-so-10.html,
52,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/421-bai-so-3.html,
53,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/423-bai-so-5.html,
54,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/424-bai-so-6.html,
55,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/420-bai-so-2.html,
56,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/419-bai-so-1.html,
57,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/3880-bai-so-7.html,
58,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/3882-bai-so-9.html,
59,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/3881-bai-so-8.html,
60,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/148-level-1/422-bai-so-4.html,
61,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/193-level-1/1185-bai-so-1.html,
62,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/193-level-1/1186-bai-so-2.html,
63,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3877-bai-so-8.html,
64,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3875-bai-so-6.html,
65,http://www.baitap123.com/vat-ly/lop-10/xac-nhan/193-level-1/3764-bai-so-6.html,
66,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3892-bai-so-9.html,
67,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/146-level-2/3870-bai-so-1.html,
68,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3884-bai-so-1.html,
69,http://www.baitap123.com/vat-ly/lop-12/xac-nhan/149-level-2/3889-bai-so-6.html,
