,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,link,download
0,0,0,0,0,0,0,0,0,0,0,0,https://hoc247.net/de-thi-thu-thpt-quoc-gia-index.html,Die
1,1,1,1,1,1,1,1,1,1,1,1,https://hoc247.net/de-thi-thu-thpt-qg-mon-vat-ly-index.html,Die
2,2,2,2,2,2,2,2,2,2,2,2,https://hoc247.net/de-thi-thu-thpt-qg-mon-hoa-hoc-index.html,Die
3,3,3,3,3,3,3,3,3,3,3,3,https://hoc247.net/de-thi-thu-thptqg-mon-sinh-index.html,Die
4,4,4,4,4,4,4,4,4,4,4,4,https://hoc247.net/de-thi-thu-thpt-qg-mon-lich-su-index.html,Die
5,5,5,5,5,5,5,5,5,5,5,5,https://hoc247.net/de-thi-thu-thptqg-mon-dia-index.html,Die
6,6,6,6,6,6,6,6,6,6,6,6,https://hoc247.net/de-thi-thu-thpt-qg-mon-gdcd-index.html,Die
7,7,7,7,7,7,7,7,7,7,7,7,https://hoc247.net/de-thi-thu-thpt-qg-mon-toan-index.html,Die
8,8,8,8,8,8,8,8,8,8,8,8,https://hoc247.net/de-thi-thu-thpt-qg-mon-tieng-anh-index.html,Die
9,9,9,9,9,9,9,9,9,9,9,9,https://hoc247.net/de-thi-thu-thpt-qg-mon-ngu-van-index.html,Die
10,10,10,10,10,10,10,10,10,10,10,10,https://hoc247.net/de-thi-giua-hk1-lop-12-index.html,Die
11,11,11,11,11,11,11,11,11,11,11,11,https://hoc247.net/de-thi-giua-hk2-lop-12-index.html,Die
12,12,12,12,12,12,12,12,12,12,12,12,https://hoc247.net/de-thi-hk1-lop-12-index.html,Die
13,13,13,13,13,13,13,13,13,13,13,13,https://hoc247.net/de-thi-hk2-lop-12-index.html,Die
14,14,14,14,14,14,14,14,14,14,14,14,https://hoc247.net/de-thi-giua-hk1-lop-11-index.html,Die
15,15,15,15,15,15,15,15,15,15,15,15,https://hoc247.net/de-thi-giua-hk2-lop-11-index.html,Die
16,16,16,16,16,16,16,16,16,16,16,16,https://hoc247.net/de-thi-hk1-lop-11-index.html,Die
17,17,17,17,17,17,17,17,17,17,17,17,https://hoc247.net/de-thi-hk2-lop-11-index.html,Die
18,18,18,18,18,18,18,18,18,18,18,18,https://hoc247.net/de-thi-giua-hk1-lop-10-index.html,Die
19,19,19,19,19,19,19,19,19,19,19,19,https://hoc247.net/de-thi-giua-hk2-lop-10-index.html,Die
20,20,20,20,20,20,20,20,20,20,20,20,https://hoc247.net/de-thi-hk1-lop-10-index.html,Die
21,21,21,21,21,21,21,21,21,21,21,21,https://hoc247.net/de-thi-hk2-lop-10-index.html,Die
22,22,22,22,22,22,22,22,22,22,22,22,https://hoc247.net/de-thi-vao-lop-10-mon-toan-index.html,Die
23,23,23,23,23,23,23,23,23,23,23,23,https://hoc247.net/de-thi-vao-lop-10-mon-ngu-van-index.html,Die
24,24,24,24,24,24,24,24,24,24,24,24,https://hoc247.net/de-thi-vao-lop-10-mon-tieng-anh-index.html,Die
25,25,25,25,25,25,25,25,25,25,25,25,https://hoc247.net/de-thi-vao-lop-10-mon-sinh-index.html,Die
26,26,26,26,26,26,26,26,26,26,26,26,https://hoc247.net/de-thi-vao-lop-10-mon-hoa-index.html,Die
27,27,27,27,27,27,27,27,27,27,27,27,https://hoc247.net/de-thi-vao-lop-10-mon-vat-ly-index.html,Die
28,28,28,28,28,28,28,28,28,28,28,28,https://hoc247.net/de-thi-hk1-lop-9-index.html,Die
29,29,29,29,29,29,29,29,29,29,29,29,https://hoc247.net/de-thi-giua-hk1-lop-9-index.html,Die
30,30,30,30,30,30,30,30,30,30,30,30,https://hoc247.net/de-thi-giua-hk2-lop-9-index.html,Die
31,31,31,31,31,31,31,31,31,31,31,31,https://hoc247.net/de-thi-hk2-lop-9-index.html,Die
32,32,32,32,32,32,32,32,32,32,32,32,https://hoc247.net/de-thi-giua-hk1-lop-8-index.html,Die
33,33,33,33,33,33,33,33,33,33,33,33,https://hoc247.net/de-thi-giua-hk2-lop-8-index.html,Die
34,34,34,34,34,34,34,34,34,34,34,34,https://hoc247.net/de-thi-hk1-lop-8-index.html,Die
35,35,35,35,35,35,35,35,35,35,35,35,https://hoc247.net/de-thi-hk2-lop-8-index.html,Die
36,36,36,36,36,36,36,36,36,36,36,36,https://hoc247.net/de-thi-giua-hk1-lop-7-index.html,Die
37,37,37,37,37,37,37,37,37,37,37,37,https://hoc247.net/de-thi-giua-hk2-lop-7-index.html,Die
38,38,38,38,38,38,38,38,38,38,38,38,https://hoc247.net/de-thi-hk1-lop-7-index.html,Die
39,39,39,39,39,39,39,39,39,39,39,39,https://hoc247.net/de-thi-hk2-lop-7-index.html,Die
40,40,40,40,40,40,40,40,40,40,40,40,https://hoc247.net/de-thi-giua-hk1-lop-6-index.html,Die
41,41,41,41,41,41,41,41,41,41,41,41,https://hoc247.net/de-thi-giua-hk2-lop-6-index.html,Die
42,42,42,42,42,42,42,42,42,42,42,42,https://hoc247.net/de-thi-hk1-lop-6-index.html,Die
43,43,43,43,43,43,43,43,43,43,43,43,https://hoc247.net/de-thi-hk2-lop-6-index.html,Die
44,44,44,44,44,44,44,44,44,44,44,44,https://hoc247.net/de-thi-hk2-tieu-hoc-index.html,Die
45,45,45,45,45,45,45,45,45,45,45,45,https://hoc247.net/de-thi-vao-lop-6-mon-toan-index.html,Die
46,46,46,46,46,46,46,46,46,46,46,46,https://hoc247.net/de-thi-vao-lop-6-mon-tieng-anh-index.html,Die
47,47,47,47,47,47,47,47,47,47,47,47,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12,Die
48,48,48,48,48,48,48,48,48,48,48,48,https://hoc247.net/bo-de-thi-thpt-qg-mon-toan-nam-2022-gtid1406.html,Die
49,49,49,49,49,49,49,49,49,49,49,49,https://hoc247.net/bo-de-thi-thpt-qg-mon-lich-su-nam-2022-gtid1407.html,Die
50,50,50,50,50,50,50,50,50,50,50,50,https://hoc247.net/bo-de-thi-thpt-qg-mon-gdcd-nam-2022-gtid1408.html,Die
51,51,51,51,51,51,51,51,51,51,51,51,https://hoc247.net/bo-de-thi-thpt-qg-mon-tieng-anh-nam-2022-gtid1403.html,Die
52,52,52,52,52,52,52,52,52,52,52,52,https://hoc247.net/bo-de-thi-thpt-qg-mon-dia-li-nam-2022-gtid1404.html,Die
53,53,53,53,53,53,53,53,53,53,53,53,https://hoc247.net/bo-de-thi-thpt-qg-mon-sinh-hoc-nam-2022-gtid1405.html,Die
54,54,54,54,54,54,54,54,54,54,54,54,https://hoc247.net/bo-de-thi-thpt-qg-mon-hoa-hoc-nam-2022-gtid1409.html,Die
55,55,55,55,55,55,55,55,55,55,55,55,https://hoc247.net/bo-de-thi-thpt-qg-mon-vat-ly-nam-2022-gtid1410.html,Die
56,56,56,56,56,56,56,56,56,56,56,56,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/toan-hoc/,Die
57,57,57,57,57,57,57,57,57,57,57,57,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/ngu-van/,Die
58,58,58,58,58,58,58,58,58,58,58,58,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/tieng-anh/,Die
59,59,59,59,59,59,59,59,59,59,59,59,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/vat-ly/,Die
60,60,60,60,60,60,60,60,60,60,60,60,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/hoa-hoc/,Die
61,61,61,61,61,61,61,61,61,61,61,61,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/sinh-hoc/,Die
62,62,62,62,62,62,62,62,62,62,62,62,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/dia-ly/,Die
63,63,63,63,63,63,63,63,63,63,63,63,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/lich-su/,Die
64,64,64,64,64,64,64,64,64,64,64,64,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/gdcd/,Die
65,65,65,65,65,65,65,65,65,65,65,65,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/tin-hoc/,Die
66,66,66,66,66,66,66,66,66,66,66,66,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/cong-nghe/,Die
67,67,67,67,67,67,67,67,67,67,67,67,https://hoc247.net/nhom-de-thi-kiem-tra/lop-12/tieng-anh-moi/,Die
68,68,68,68,68,68,68,68,68,68,68,68,https://hoc247.net/bo-de-thi-hk2-mon-vat-ly-lop-12-nam-2021-2022-gtid1491.html,Die
69,69,69,69,69,69,69,69,69,69,69,69,https://hoc247.net/bo-de-thi-hk2-mon-hoa-hoc-lop-12-nam-2021-2022-gtid1482.html,Die
70,70,70,70,70,70,70,70,70,70,70,70,https://hoc247.net/bo-de-thi-hk2-mon-cong-nghe-12-nam-2021-2022-gtid1545.html,Die
71,71,71,71,71,71,71,71,71,71,71,71,https://hoc247.net/bo-de-thi-hk2-mon-tin-hoc-lop-12-nam-2021-2022-gtid1504.html,Die
72,72,72,72,72,72,72,72,72,72,72,72,https://hoc247.net/bo-de-thi-hk2-mon-gdcd-12-nam-2021-2022-gtid1548.html,Die
73,73,73,73,73,73,73,73,73,73,73,73,https://hoc247.net/bo-de-thi-hk2-mon-lich-su-lop-12-nam-2021-2022-gtid1498.html,Die
