,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.2,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,link,download
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://hoc247.net/tu-lieu/lop-12/,Die
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://hoc247.net/tu-lieu/tieu-hoc/,Die
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://hoc247.net/tu-lieu/lop-6/,Die
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://hoc247.net/tu-lieu/lop-7/,Die
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://hoc247.net/tu-lieu/lop-8/,Die
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://hoc247.net/tu-lieu/lop-9/,Die
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://hoc247.net/tu-lieu/lop-10/,Die
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://hoc247.net/tu-lieu/lop-11/,Die
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://hoc247.net/tu-lieu/dai-hoc/,Die
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://hoc247.net/tu-lieu/dai-hoc/ly-luan-chinh-tri/,Die
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://hoc247.net/tu-lieu/dai-hoc/khoa-hoc-tu-nhien/,Die
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://hoc247.net/tu-lieu/dai-hoc/khoa-hoc-xa-hoi/,Die
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://hoc247.net/tu-lieu/dai-hoc/kinh-te-tai-chinh/,Die
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://hoc247.net/tu-lieu/dai-hoc/ky-thuat-cong-nghe/,Die
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://hoc247.net/tu-lieu/dai-hoc/cong-nghe-thong-tin/,Die
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://hoc247.net/tu-lieu/dai-hoc/tieng-anh-ngoai-ngu/,Die
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://hoc247.net/tu-lieu/dai-hoc/luan-van-bao-cao/,Die
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://hoc247.net/tu-lieu/dai-hoc/kien-truc-xay-dung/,Die
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://hoc247.net/tu-lieu/dai-hoc/ky-nang-mem/,Die
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,https://hoc247.net/tu-lieu/dai-hoc/y-te-suc-khoe/,Die
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://hoc247.net/tu-lieu/dai-hoc/bieu-mau-van-ban/,Die
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://hoc247.net/tu-lieu/lop-12,Die
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-12-nam-2021-2022-co-dap-an-truong-thpt-nhan-chinh-doc38222.html,Yes
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-cong-nghe-12-nam-2021-2022-truong-thpt-nguyen-hue-co-dap-an-doc38101.html,Yes
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-tin-hoc-12-nam-2021-2022-truong-thpt-duy-tan-co-dap-an-doc38100.html,Yes
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-dia-li-12-nam-2021-2022-truong-thpt-nguyen-van-linh-co-dap-an-doc38059.html,Yes
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-12-nam-2021-2022-co-dap-an-truong-thpt-bui-thi-xuan-doc38055.html,Yes
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-lich-su-12-nam-2021-2022-co-dap-an-truong-thpt-gia-dinh-doc38049.html,Yes
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-sinh-hoc-12-nam-2021-2022-truong-thpt-phan-van-tri-co-dap-an-doc38014.html,Yes
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://hoc247.net/tu-lieu/bo-3-de-thi-hk2-mon-ngu-van-12-co-dap-an-nam-2021-2022-truong-thpt-nguye-n-trung-thie-n-doc38006.html,Yes
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://hoc247.net/tu-lieu/bo-5-de-thi-hk2-mon-toan-12-nam-2021-2022-co-dap-an-truong-thpt-nguyen-trai-doc38002.html,Yes
