,link,download
0,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=6&subjectID=1&page=1,Yes
1,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=6&subjectID=2&page=1,Yes
2,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=6&subjectID=4&page=1,Yes
3,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=6&subjectID=5&page=1,Yes
4,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=6&subjectID=6&page=1,Yes
5,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=6&subjectID=7&page=1,Yes
6,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=6&subjectID=8&page=1,Yes
7,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=7&subjectID=1&page=1,Yes
8,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=7&subjectID=2&page=1,Yes
9,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=7&subjectID=4&page=1,Yes
10,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=7&subjectID=5&page=1,Yes
11,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=7&subjectID=7&page=1,Yes
12,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=8&subjectID=1&page=1,Yes
13,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=8&subjectID=2&page=1,Yes
14,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=8&subjectID=3&page=1,Yes
15,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=8&subjectID=4&page=1,Yes
16,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=8&subjectID=5&page=1,Yes
17,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=8&subjectID=6&page=1,Yes
18,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=8&subjectID=7&page=1,Yes
19,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=8&subjectID=8&page=1,Yes
20,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=9&subjectID=1&page=1,Yes
21,https://loga.vn/LessonPlan/LoadLessonPlanContentByFilter?gradeID=9&subjectID=2&page=1,Yes
