name,provide,address
Trường GDTX Ba Đình,Hà Nội,Ngõ 294 phố Đội Cấn- Quận Ba Đình
Trường GDTX Nguyễn Văn Tố,Hà Nội,Số 47 Hàng Quạt- Quận Hoàn Kiếm
Trường GDTX Hai Bà Trưng,Hà Nội,Số 14 phố Lê Gia Định- Quận Hai Bà Trưng
Trường GDTX Đống Đa,Hà Nội,Số 5 ngõ 4A  Đặng Văn Ngữ- Quận Đống Đa
Trường GDTX Tây Hồ,Hà Nội,Phường Phú Thượng- Quận Tây Hồ
Trường GDTX&DN Cầu Giấy,Hà Nội,Ngõ 223 đường  Xuân Thuỷ- Quận Cầu Giấy
Trường GDTX Thanh Xuân,Hà Nội,Số 140 Bùi Xương Trạch- Quận Thanh Xuân
Trường GDTX Hoàng Mai,Hà Nội,Phường Trần Phú- Quận Hoàng Mai
Trường GDTX Việt Hưng,Hà Nội,Phường Việt Hưng- Quận Long Biên
Trường GDTX Đông Mỹ,Hà Nội,Xã Đông Mỹ- Huyện Thanh Trì
Trường GDTX Thanh  Trì,Hà Nội,"Km 2,5 đường Phan Trọng Tuệ, xã Thanh Liệt- Huyện Thanh Trì"
Trường GDTX Đình Xuyên,Hà Nội,Xã Đình Xuyên- Huyện Gia Lâm
Trường GDTX Phú Thị,Hà Nội,Xã Đặng Xá- Huyện Gia Lâm
Trường GDTX Đông Anh,Hà Nội,Xã Uy Nỗ- Huyện Đông Anh
Trường GDTX Sóc Sơn,Hà Nội,Xã Tiên Dược- Huyện Sóc Sơn
Trường GDTX Hà Tây,Hà Nội,Số 23 Bùi Bằng Đoàn- Quận Hà Đông
Trường GDTX Sơn Tây,Hà Nội,Thị xã Sơn Tây
Trường GDTX Ba Vì,Hà Nội,Huyên Ba Vì
Trường GDTX Phúc Thọ,Hà Nội,Huyện Phúc Thọ
Trường GDTX Thạch Thất,Hà Nội,Thị trấn Liên Quan- Huyện Thạch Thất
Trường GDTX Quốc Oai,Hà Nội,Thị trấn Quốc Oai- Huyện Quốc Oai
Trường GDTX Chương Mỹ,Hà Nội,Thị trấn Chúc Sơn- Huyện Chương Mỹ
Trường GDTX Đan Phượng,Hà Nội,Thị trấn Phùng- Huyện Đan Phượng
Trường GDTX Hoài Đức,Hà Nội,Huyện Hoài Đức
Trường GDTX Thanh Oai,Hà Nội,Huyện Thanh Oai
Trường GDTX Mỹ Đức,Hà Nội,Huyện Mỹ Đức
Trường GDTX Ứng Hoà,Hà Nội,Thị trấn Vân Đình- Huyện Ứng Hoà
Trường GDTX Thường Tín,Hà Nội,Huyện Thường Tín
Trường GDTX Phú Xuyên,Hà Nội,Huyện Phú Xuyên
Trường GDTX Mê Linh,Hà Nội,Khu Hành chính- Huyện Mê Linh
Trường GDTX Từ Liêm,Hà Nội,Phường Phương Canh- Quận Nam Từ Liêm
Trường TTGDTX Quận 1,Tp. Hồ Chí Minh,16A Nguyễn Thị Minh Khai Q1
Trường TTGDTX Lê Quí Đôn,Tp. Hồ Chí Minh,94 Nguyễn Đình Chiểu Q1
Trường TTGDTX Quận 2,Tp. Hồ Chí Minh,"KP2 Nguyễn Thị Định, P. An Phú,Q2"
Trường TTGDTX Quận 3,Tp. Hồ Chí Minh,"204 Lý Chính Thắng, P9, Q3"
Trường TTGDTX Quận 4,Tp. Hồ Chí Minh,"64 - 66 Nguyễn Khoái, P. 2, Q. 4"
Trường TTGDTX Quận 5,Tp. Hồ Chí Minh,770 Nguyễn Trãi Q5
Trường TTGDTX Chu Văn An,Tp. Hồ Chí Minh,546 Ngô Gia Tự Q5
Trường TTGDTX Quận 6,Tp. Hồ Chí Minh,"743/15 Hồng Bàng, P6,  Q6"
Trường TTGDTX Quận 7,Tp. Hồ Chí Minh,"27/3 đường số 10-Khu phố 3-P.Bình Thuận, Q. 7"
Trường TTGDTX Quận 8,Tp. Hồ Chí Minh,"3-5 Huỳnh Thị Phụng, P. 4, Q. 8"
Trường TTGDTX Quận 9,Tp. Hồ Chí Minh,"Đ Đình Phong Phú kp 1, P. Tăng Nhơn Phú, B Q. 9"
Trường TTGDTX Quận 10,Tp. Hồ Chí Minh,461 Lê Hồng Phong Q10
Trường TTGDTX Quận 11,Tp. Hồ Chí Minh,"133-135 Nguyễn Chí Thanh, P. 16, Q. 11"
Trường TTGDTX Quận 12,Tp. Hồ Chí Minh,"2 bis, Tô Ký, KP3, P. Tân Hiệp Chánh,  Q12"
Trường TTGDTX Quận Gò Vấp,Tp. Hồ Chí Minh,"582 Lê Quang Định, P. 1, Q. Gò Vấp"
Trường TTGDTX Trần Hưng Đạo,Tp. Hồ Chí Minh,88/955E Lê Đức Thọ quận Gò Vấp
Trường TTGDTX Quận Tân Bình,Tp. Hồ Chí Minh,95/55 Trường Chinh Q Tân Bình
Trường TTGDTX TN xung phong,Tp. Hồ Chí Minh,"10/12 Lạc Long Quân, P.9, Q. Tân Bình"
Trường TTGDTX Quận Tân Phú,Tp. Hồ Chí Minh,"78/2/45 Phan Đình Phùng, P. Tân Thành, Q. Tân Phú."
Trường TTGDTX Quận Bình Thạnh,Tp. Hồ Chí Minh,"801/19 Tầm Vu, P. 26, Q. Bình Thạnh"
Trường TTGDTX Gia Định,Tp. Hồ Chí Minh,"153A Xô Viết Nghệ Tĩnh, P. 17,  Q. Bình Thạnh"
Trường TTGDTX Quận Phú Nhuận,Tp. Hồ Chí Minh,109 Phan Đăng Lưu Q Phú Nhuận
Trường TTGDTX Quận Thủ Đức,Tp. Hồ Chí Minh,25/9 Võ Văn Ngân Q Thủ Đức
Trường TTGDTX Quận Bình Tân,Tp. Hồ Chí Minh,"31A Hồ Học Lãm, P An Lạc Q Bình Tân"
Trường TTGDTX H. Bình Chánh,Tp. Hồ Chí Minh,Xã An Phú Tây H Bình Chánh
Trường TTGDTX H. Củ Chi,Tp. Hồ Chí Minh,Khu phố 3 TTr. H Củ Chi
Trường TTGDTX H. Hóc Môn,Tp. Hồ Chí Minh,"65 Đỗ Văn Dậy, Â. Tân Thới 1, X.Tân Hiệp, H Hóc Môn"
Trường TTGDTX H. Nhà Bè,Tp. Hồ Chí Minh,Xã Nhơn Đức H Nhà Bè
Trường TTGDTX H. Cần Giờ,Tp. Hồ Chí Minh,"TTr. Cần Thạnh, H. Cần Giờ"
TT DN&GDTX Hồng Bàng,Hải Phòng,"P.Phan Bội Châu,Q. Hồng Bàng"
TT GDTX Hải Phòng,Hải Phòng,"P. An Biên, Q. Lê Chân"
TT DN&GDTX Lê Chân,Hải Phòng,"P. Dư Hàng, Q. Lê Chân"
TT DN&GDTX Ngô Quyền,Hải Phòng,"P. Gia Viên, Q. Ngô Quyền"
TT DN&GDTX Kiến An,Hải Phòng,"P. Văn Đẩu, Q. Kiến An"
TT DN&GDTX Hải An,Hải Phòng,"P. Đằng Lâm, Q. Hải An"
TT DN&GDTX Đồ Sơn,Hải Phòng,"P. Ngọc Hải, Q. Đồ Sơn"
TT DN&GDTX An Lão,Hải Phòng,"TTr. An Lão, H.An Lão"
TT DN&GDTX Kiến Thụy,Hải Phòng,"TTr. Núi Đối, H. Kiến Thụy"
TT DN&GDTX Thủy Nguyên,Hải Phòng,"Xã Thủy Sơn, H.Thủy Nguyên"
TT DN&GDTX An Dương,Hải Phòng,"TTr. An Dương, H. An Dương"
TT DN&GDTX Tiên Lãng,Hải Phòng,"TTr. Tiên Lãng, H. Tiên Lãng"
TT DN&GDTX Vĩnh Bảo,Hải Phòng,"TTr. Vĩnh Bảo, H. Vĩnh Bảo"
TT DN&GDTX Cát Hải,Hải Phòng,"TTr. Cát Bà, H. Cát Hải"
TT DN&GDTX Q.Dương Kinh,Hải Phòng,"P.Anh Dũng, Q.Dương Kinh"
Trường TTGDTX-HN Hải Châu+BTBK+CĐCN,Đà Nẵng,Q. Hải Châu
TT GDTX-HN Thanh Khê,Đà Nẵng,"Thanh Khê Đông, Thanh Khê"
TT GDTX Thành Phố,Đà Nẵng,"An Hải Đông, Sơn Trà"
TT GDTX -HN N.H. Sơn+ BTĐH Kinh tế,Đà Nẵng,"Hoà Hải, Ngũ Hành Sơn"
